Color Name,Vendor Name,Thickness,Material,size,Total/SqFt,Cost/SqFt,Price Group,Tier
Frost-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
Frost-N,Arizona Tile,3cm,Quartz,138 x 79,75.71,10.24,2,Low Tier
Gemstone Beige-N,Arizona Tile,1.5cm,Quartz,126 x 63,55.13,6.05,1,Low Tier
Gemstone Beige-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,7.90,1,Low Tier
Gemstone Beige-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
Oceana-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,7.90,1,Low Tier
Oceana-N,Arizona Tile,2cm,Quartz,138 x 79,75.71,7.90,1,Low Tier
Oceana-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
Oceana-N,Arizona Tile,3cm,Quartz,138 x 79,75.71,10.24,2,Low Tier
Steel-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,7.90,1,Low Tier
Steel-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
White Sand-N,Arizona Tile,1.5cm,Quartz,126 x 63,55.13,6.05,1,Low Tier
White Sand-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,7.90,1,Low Tier
White Sand-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
White Sand-N,Arizona Tile,2cm,Quartz,138 x 79,75.71,7.90,1,Low Tier
White Sand-N,Arizona Tile,3cm,Quartz,138 x 79,75.71,10.24,2,Low Tier
Zinc,Arizona Tile,1.5cm,Quartz,126 x 63,55.13,6.05,1,Low Tier
Zinc,Arizona Tile,2cm,Quartz,126 x 63,55.13,7.90,1,Low Tier
Zinc,Arizona Tile,3cm,Quartz,126 x 63,55.13,10.24,2,Low Tier
Aerial,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Aerial,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Bianco Tiza,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Bianco Tiza,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Carrara Breeze,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Carrara Breeze,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Cotton,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Cotton,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Crest,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Crest,Arizona Tile,2cm,Quartz,130 x 65,58.68,9.65,1,Low Tier
Crest,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Crest,Arizona Tile,3cm,Quartz,130 x 65,58.68,12.29,2,Low Tier
Crisp Stria,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Crisp Stria,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Dusk-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Dusk-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Glisten,Arizona Tile,2cm,Quartz,138 x 79,75.71,9.65,1,Low Tier
Glisten,Arizona Tile,3cm,Quartz,138 x 79,75.71,12.29,2,Low Tier
Linen-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Linen-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Tawny,Arizona Tile,2cm,Quartz,126 x 63,55.13,9.65,1,Low Tier
Tawny,Arizona Tile,3cm,Quartz,126 x 63,55.13,12.29,2,Low Tier
Biancone,Arizona Tile,2cm,Quartz,130 x 65,58.68,11.99,2,Low Tier
Biancone,Arizona Tile,3cm,Quartz,130 x 65,58.68,15.15,2,Low Tier
Denali-N,Arizona Tile,2cm,Quartz,127 x 63,55.56,11.99,2,Low Tier
Denali-N,Arizona Tile,2cm,Quartz,130 x 65,58.68,11.99,2,Low Tier
Denali-N,Arizona Tile,3cm,Quartz,127 x 63,55.56,15.15,2,Low Tier
Denali-N,Arizona Tile,3cm,Quartz,130 x 65,58.68,15.15,2,Low Tier
Fog,Arizona Tile,2cm,Quartz,135 x 76,71.25,11.99,2,Low Tier
Fog,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.15,2,Low Tier
Oxide Honed,Arizona Tile,2cm,Quartz,126 x 63,55.13,11.99,2,Low Tier
Oxide Honed,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.15,2,Low Tier
Oxide,Arizona Tile,2cm,Quartz,126 x 63,55.13,11.99,2,Low Tier
Oxide,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.15,2,Low Tier
Slate Grey-N,Arizona Tile,2cm,Quartz,126 x 63,55.13,11.99,2,Low Tier
Slate Grey-N,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.15,2,Low Tier
Altais White,Arizona Tile,2cm,Quartz,129 x 78,69.88,12.93,2,Low Tier
Altais White,Arizona Tile,3cm,Quartz,129 x 78,69.88,15.95,2,Low Tier
Bianco Pearl,Arizona Tile,2cm,Quartz,126 x 63,55.13,12.93,2,Low Tier
Bianco Pearl,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.95,2,Low Tier
Carrara Barolo,Arizona Tile,2cm,Quartz,126 x 63,55.13,12.93,2,Low Tier
Carrara Barolo,Arizona Tile,3cm,Quartz,126 x 63,55.13,15.95,2,Low Tier
